[2026-09-08T16:33:22.005+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-08T16:33:22.035+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: steam_analytics_daily.process_facts_and_silver_layer manual__2026-09-08T16:33:18.355196+00:00 [queued]>
[2026-09-08T16:33:22.042+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: steam_analytics_daily.process_facts_and_silver_layer manual__2026-09-08T16:33:18.355196+00:00 [queued]>
[2026-09-08T16:33:22.042+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-09-08T16:33:22.052+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): process_facts_and_silver_layer> on 2026-09-08 16:33:18.355196+00:00
[2026-09-08T16:33:22.059+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2462) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-09-08T16:33:22.060+0000] {standard_task_runner.py:64} INFO - Started process 2463 to run task
[2026-09-08T16:33:22.059+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'steam_analytics_daily', 'process_facts_and_silver_layer', 'manual__2026-09-08T16:33:18.355196+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/steam_analytics.py', '--cfg-path', '/tmp/tmp1i6ctd_l']
[2026-09-08T16:33:22.061+0000] {standard_task_runner.py:91} INFO - Job 23: Subtask process_facts_and_silver_layer
[2026-09-08T16:33:22.098+0000] {task_command.py:426} INFO - Running <TaskInstance: steam_analytics_daily.process_facts_and_silver_layer manual__2026-09-08T16:33:18.355196+00:00 [running]> on host d6ba0ff7b234
[2026-09-08T16:33:22.175+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data_engineer' AIRFLOW_CTX_DAG_ID='steam_analytics_daily' AIRFLOW_CTX_TASK_ID='process_facts_and_silver_layer' AIRFLOW_CTX_EXECUTION_DATE='2026-09-08T16:33:18.355196+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-08T16:33:18.355196+00:00'
[2026-09-08T16:33:22.179+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-08T16:33:22.295+0000] {minio_client.py:87} INFO - Berhasil membaca 3000 record dari s3://steam-analytics/bronze/steamspy/2026-09-08/data.json
[2026-09-08T16:33:22.297+0000] {crypto.py:82} WARNING - empty cryptography key - values will not be stored encrypted.
[2026-09-08T16:33:22.297+0000] {base.py:84} INFO - Using connection ID 'postgres_***' for task execution.
[2026-09-08T16:33:22.303+0000] {postgres.py:306} INFO - Partisi fact_game_snapshot_2026_09 dipastikan tersedia
[2026-09-08T16:33:22.310+0000] {postgres.py:184} INFO - get_game_lookup: 2886 game dimuat dari dim_game
[2026-09-08T16:33:22.311+0000] {cleaning.py:219} WARNING - appid 1063730 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.311+0000] {cleaning.py:219} WARNING - appid 291480 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.312+0000] {cleaning.py:219} WARNING - appid 203160 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.313+0000] {cleaning.py:219} WARNING - appid 1172620 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.314+0000] {cleaning.py:219} WARNING - appid 221380 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.314+0000] {cleaning.py:219} WARNING - appid 439700 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.315+0000] {cleaning.py:219} WARNING - appid 677620 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.315+0000] {cleaning.py:219} WARNING - appid 397900 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.315+0000] {cleaning.py:219} WARNING - appid 273110 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.316+0000] {cleaning.py:219} WARNING - appid 223750 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.317+0000] {cleaning.py:219} WARNING - appid 1366800 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.318+0000] {cleaning.py:219} WARNING - appid 447040 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.318+0000] {cleaning.py:219} WARNING - appid 33900 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.319+0000] {cleaning.py:219} WARNING - appid 4560 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.319+0000] {cleaning.py:219} WARNING - appid 838350 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.320+0000] {cleaning.py:219} WARNING - appid 38400 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.320+0000] {cleaning.py:219} WARNING - appid 629520 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.321+0000] {cleaning.py:219} WARNING - appid 1468810 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.321+0000] {cleaning.py:219} WARNING - appid 105450 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.321+0000] {cleaning.py:219} WARNING - appid 466560 tidak ditemukan di game_lookup, dilewati
[2026-09-08T16:33:22.322+0000] {cleaning.py:219} WARNING - appid 1466860 tidak ditemukan di game_lookup, dilewati
